game_turn,player_id,total_score,score_civics,score_empire,score_great_people,score_religion,score_tech,score_wonder,score_trade,score_pillage,score_income,score_scenario1,score_scenario2,score_scenario3,score_category_e,data_source,loaded_at
2,1,7,0,7,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
2,2,7,0,7,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
2,3,8,0,7,0,0,0,0,0,0,0,0,0,0,1,game_scores,2025-08-03 19:13:55.357151
2,4,11,0,7,0,0,0,0,0,0,0,0,0,0,4,game_scores,2025-08-03 19:13:55.357151
2,5,8,0,7,0,0,0,0,0,0,0,0,0,0,1,game_scores,2025-08-03 19:13:55.357151
2,6,7,0,7,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
2,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
2,8,7,0,7,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
2,9,7,0,7,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
2,10,7,0,7,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
2,11,7,0,7,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
2,12,7,0,7,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
2,13,7,0,7,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
2,14,7,0,7,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
2,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
2,63,6,0,0,0,0,6,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
3,0,11,0,7,0,0,0,0,0,0,0,0,0,0,4,game_scores,2025-08-03 19:13:55.357151
3,1,7,0,7,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
3,2,7,0,7,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
3,3,8,0,7,0,0,0,0,0,0,0,0,0,0,1,game_scores,2025-08-03 19:13:55.357151
3,4,11,0,7,0,0,0,0,0,0,0,0,0,0,4,game_scores,2025-08-03 19:13:55.357151
3,5,8,0,7,0,0,0,0,0,0,0,0,0,0,1,game_scores,2025-08-03 19:13:55.357151
3,6,7,0,7,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
3,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
3,8,7,0,7,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
3,9,7,0,7,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
3,10,7,0,7,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
3,11,7,0,7,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
3,12,7,0,7,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
3,13,7,0,7,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
3,14,7,0,7,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
3,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
3,63,6,0,0,0,0,6,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
4,0,11,0,7,0,0,0,0,0,0,0,0,0,0,4,game_scores,2025-08-03 19:13:55.357151
4,1,7,0,7,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
4,2,7,0,7,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
4,3,8,0,7,0,0,0,0,0,0,0,0,0,0,1,game_scores,2025-08-03 19:13:55.357151
4,4,11,0,7,0,0,0,0,0,0,0,0,0,0,4,game_scores,2025-08-03 19:13:55.357151
4,5,8,0,7,0,0,0,0,0,0,0,0,0,0,1,game_scores,2025-08-03 19:13:55.357151
4,6,7,0,7,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
4,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
4,8,7,0,7,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
4,9,7,0,7,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
4,10,7,0,7,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
